-------------------------------------------------------------------------------
NGINX Ingress controller
  Release:       v0.44.0
E0511 00:51:35.484161       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.ConfigMap: failed to list *v1.ConfigMap: Get "https://10.152.183.1:443/api/v1/configmaps?labelSelector=OWNER%21%3DTILLER&resourceVersion=181441": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:36.130406       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Service: failed to list *v1.Service: Get "https://10.152.183.1:443/api/v1/services?resourceVersion=177264": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:36.625240       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Secret: failed to list *v1.Secret: Get "https://10.152.183.1:443/api/v1/secrets?fieldSelector=%2Ctype%21%3Dhelm.sh%2Frelease.v1&resourceVersion=177264": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:39.752815       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Endpoints: failed to list *v1.Endpoints: Get "https://10.152.183.1:443/api/v1/endpoints?resourceVersion=177325": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:40.628700       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1beta1.Ingress: failed to list *v1beta1.Ingress: Get "https://10.152.183.1:443/apis/networking.k8s.io/v1beta1/ingresses?resourceVersion=179638": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:43.089306       7 leaderelection.go:325] error retrieving resource lock ingress/ingress-controller-leader-public: Get "https://10.152.183.1:443/api/v1/namespaces/ingress/configmaps/ingress-controller-leader-public": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:50.699667       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Service: failed to list *v1.Service: Get "https://10.152.183.1:443/api/v1/services?resourceVersion=177264": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:58.295873       7 leaderelection.go:325] error retrieving resource lock ingress/ingress-controller-leader-public: Get "https://10.152.183.1:443/api/v1/namespaces/ingress/configmaps/ingress-controller-leader-public": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:58.408314       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.ConfigMap: failed to list *v1.ConfigMap: Get "https://10.152.183.1:443/api/v1/configmaps?labelSelector=OWNER%21%3DTILLER&resourceVersion=181441": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:58.632818       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1beta1.Ingress: failed to list *v1beta1.Ingress: Get "https://10.152.183.1:443/apis/networking.k8s.io/v1beta1/ingresses?resourceVersion=179638": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:51:59.202963       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Endpoints: failed to list *v1.Endpoints: Get "https://10.152.183.1:443/api/v1/endpoints?resourceVersion=177325": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:52:03.638653       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Secret: failed to list *v1.Secret: Get "https://10.152.183.1:443/api/v1/secrets?fieldSelector=%2Ctype%21%3Dhelm.sh%2Frelease.v1&resourceVersion=177264": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:52:07.475262       7 leaderelection.go:325] error retrieving resource lock ingress/ingress-controller-leader-public: Get "https://10.152.183.1:443/api/v1/namespaces/ingress/configmaps/ingress-controller-leader-public": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:52:17.086766       7 leaderelection.go:325] error retrieving resource lock ingress/ingress-controller-leader-public: Get "https://10.152.183.1:443/api/v1/namespaces/ingress/configmaps/ingress-controller-leader-public": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:52:26.668033       7 leaderelection.go:325] error retrieving resource lock ingress/ingress-controller-leader-public: Get "https://10.152.183.1:443/api/v1/namespaces/ingress/configmaps/ingress-controller-leader-public": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:52:27.522578       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Endpoints: failed to list *v1.Endpoints: Get "https://10.152.183.1:443/api/v1/endpoints?resourceVersion=177325": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:52:27.706482       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Service: failed to list *v1.Service: Get "https://10.152.183.1:443/api/v1/services?resourceVersion=177264": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:52:29.166248       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.ConfigMap: failed to list *v1.ConfigMap: Get "https://10.152.183.1:443/api/v1/configmaps?labelSelector=OWNER%21%3DTILLER&resourceVersion=181441": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:52:32.189617       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Secret: failed to list *v1.Secret: Get "https://10.152.183.1:443/api/v1/secrets?fieldSelector=%2Ctype%21%3Dhelm.sh%2Frelease.v1&resourceVersion=177264": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:52:37.643605       7 leaderelection.go:325] error retrieving resource lock ingress/ingress-controller-leader-public: Get "https://10.152.183.1:443/api/v1/namespaces/ingress/configmaps/ingress-controller-leader-public": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:52:43.614234       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1beta1.Ingress: failed to list *v1beta1.Ingress: Get "https://10.152.183.1:443/apis/networking.k8s.io/v1beta1/ingresses?resourceVersion=179638": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:52:50.196604       7 leaderelection.go:325] error retrieving resource lock ingress/ingress-controller-leader-public: Get "https://10.152.183.1:443/api/v1/namespaces/ingress/configmaps/ingress-controller-leader-public": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:53:00.874136       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.ConfigMap: failed to list *v1.ConfigMap: Get "https://10.152.183.1:443/api/v1/configmaps?labelSelector=OWNER%21%3DTILLER&resourceVersion=181441": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:53:01.094188       7 leaderelection.go:325] error retrieving resource lock ingress/ingress-controller-leader-public: Get "https://10.152.183.1:443/api/v1/namespaces/ingress/configmaps/ingress-controller-leader-public": dial tcp 10.152.183.1:443: connect: connection refused
E0511 00:53:23.417486       7 leaderelection.go:325] error retrieving resource lock ingress/ingress-controller-leader-public: Get "https://10.152.183.1:443/api/v1/namespaces/ingress/configmaps/ingress-controller-leader-public": net/http: TLS handshake timeout
I0511 00:53:24.779246       7 trace.go:205] Trace[127018652]: "Reflector ListAndWatch" name:k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167 (11-May-2021 00:53:14.680) (total time: 10096ms):
Trace[127018652]: [10.096854026s] [10.096854026s] END
E0511 00:53:24.779524       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Service: failed to list *v1.Service: Get "https://10.152.183.1:443/api/v1/services?resourceVersion=177264": net/http: TLS handshake timeout
I0511 00:53:26.851962       7 trace.go:205] Trace[164180997]: "Reflector ListAndWatch" name:k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167 (11-May-2021 00:53:16.795) (total time: 10056ms):
Trace[164180997]: [10.056087451s] [10.056087451s] END
E0511 00:53:26.852093       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Secret: failed to list *v1.Secret: Get "https://10.152.183.1:443/api/v1/secrets?fieldSelector=%2Ctype%21%3Dhelm.sh%2Frelease.v1&resourceVersion=177264": net/http: TLS handshake timeout
I0511 00:53:28.945699       7 trace.go:205] Trace[2112510850]: "Reflector ListAndWatch" name:k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167 (11-May-2021 00:53:18.933) (total time: 10012ms):
Trace[2112510850]: [10.012131123s] [10.012131123s] END
E0511 00:53:28.945816       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.Endpoints: failed to list *v1.Endpoints: Get "https://10.152.183.1:443/api/v1/endpoints?resourceVersion=177325": net/http: TLS handshake timeout
I0511 00:53:46.195249       7 leaderelection.go:253] successfully acquired lease ingress/ingress-controller-leader-public
E0511 01:01:56.343584       7 leaderelection.go:325] error retrieving resource lock ingress/ingress-controller-leader-public: Get "https://10.152.183.1:443/api/v1/namespaces/ingress/configmaps/ingress-controller-leader-public": context deadline exceeded
I0511 01:01:56.343845       7 leaderelection.go:278] failed to renew lease ingress/ingress-controller-leader-public: timed out waiting for the condition
I0511 01:01:56.348648       7 leaderelection.go:243] attempting to acquire leader lease ingress/ingress-controller-leader-public...
W0511 01:02:05.838548       7 reflector.go:436] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: watch of *v1.ConfigMap ended with: very short watch: k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Unexpected watch close - watch lasted less than a second and no items received
W0511 01:02:05.733781       7 reflector.go:436] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: watch of *v1beta1.Ingress ended with: very short watch: k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Unexpected watch close - watch lasted less than a second and no items received
E0511 01:02:07.301330       7 leaderelection.go:325] error retrieving resource lock ingress/ingress-controller-leader-public: Get "https://10.152.183.1:443/api/v1/namespaces/ingress/configmaps/ingress-controller-leader-public": dial tcp 10.152.183.1:443: connect: connection refused
E0511 01:02:07.301858       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.ConfigMap: failed to list *v1.ConfigMap: Get "https://10.152.183.1:443/api/v1/configmaps?labelSelector=OWNER%21%3DTILLER&resourceVersion=182048": dial tcp 10.152.183.1:443: connect: connection refused
E0511 01:02:08.399894       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1beta1.Ingress: failed to list *v1beta1.Ingress: Get "https://10.152.183.1:443/apis/networking.k8s.io/v1beta1/ingresses?resourceVersion=181445": dial tcp 10.152.183.1:443: connect: connection refused
E0511 01:02:10.656277       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1beta1.Ingress: failed to list *v1beta1.Ingress: Get "https://10.152.183.1:443/apis/networking.k8s.io/v1beta1/ingresses?resourceVersion=181445": dial tcp 10.152.183.1:443: connect: connection refused
E0511 01:02:10.658847       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.ConfigMap: failed to list *v1.ConfigMap: Get "https://10.152.183.1:443/api/v1/configmaps?labelSelector=OWNER%21%3DTILLER&resourceVersion=182048": dial tcp 10.152.183.1:443: connect: connection refused
E0511 01:02:14.636834       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.ConfigMap: failed to list *v1.ConfigMap: Get "https://10.152.183.1:443/api/v1/configmaps?labelSelector=OWNER%21%3DTILLER&resourceVersion=182048": dial tcp 10.152.183.1:443: connect: connection refused
E0511 01:02:15.582437       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1beta1.Ingress: failed to list *v1beta1.Ingress: Get "https://10.152.183.1:443/apis/networking.k8s.io/v1beta1/ingresses?resourceVersion=181445": dial tcp 10.152.183.1:443: connect: connection refused
E0511 01:02:22.860493       7 leaderelection.go:325] error retrieving resource lock ingress/ingress-controller-leader-public: Get "https://10.152.183.1:443/api/v1/namespaces/ingress/configmaps/ingress-controller-leader-public": dial tcp 10.152.183.1:443: connect: connection refused
E0511 01:02:24.519733       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.ConfigMap: failed to list *v1.ConfigMap: Get "https://10.152.183.1:443/api/v1/configmaps?labelSelector=OWNER%21%3DTILLER&resourceVersion=182048": dial tcp 10.152.183.1:443: connect: connection refused
E0511 01:02:27.048587       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1beta1.Ingress: failed to list *v1beta1.Ingress: Get "https://10.152.183.1:443/apis/networking.k8s.io/v1beta1/ingresses?resourceVersion=181445": dial tcp 10.152.183.1:443: connect: connection refused
E0511 01:02:48.049792       7 leaderelection.go:325] error retrieving resource lock ingress/ingress-controller-leader-public: Get "https://10.152.183.1:443/api/v1/namespaces/ingress/configmaps/ingress-controller-leader-public": net/http: TLS handshake timeout
I0511 01:02:54.097813       7 trace.go:205] Trace[631327183]: "Reflector ListAndWatch" name:k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167 (11-May-2021 01:02:43.983) (total time: 10114ms):
Trace[631327183]: [10.114461928s] [10.114461928s] END
E0511 01:02:54.097900       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1beta1.Ingress: failed to list *v1beta1.Ingress: Get "https://10.152.183.1:443/apis/networking.k8s.io/v1beta1/ingresses?resourceVersion=181445": net/http: TLS handshake timeout
I0511 01:02:56.717787       7 trace.go:205] Trace[1720120895]: "Reflector ListAndWatch" name:k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167 (11-May-2021 01:02:46.646) (total time: 10071ms):
Trace[1720120895]: [10.0713377s] [10.0713377s] END
E0511 01:02:56.717894       7 reflector.go:138] k8s.io/client-go@v0.20.2/tools/cache/reflector.go:167: Failed to watch *v1.ConfigMap: failed to list *v1.ConfigMap: Get "https://10.152.183.1:443/api/v1/configmaps?labelSelector=OWNER%21%3DTILLER&resourceVersion=182048": net/http: TLS handshake timeout
I0511 01:14:49.089934       7 leaderelection.go:253] successfully acquired lease ingress/ingress-controller-leader-public
